
Host: gpu-1-10.local

Timers On : Sat Nov 11 18:14:50 2017
Timers Off: Sat Nov 11 18:57:44 2017

Wall Time:     2574.00 seconds

JK: (A|Q)^-1:      16.48u       7.16s      14.52w      2 calls
JK: (A|mn)  :     112.44u       0.02s      14.41w      9 calls
JK: (Q|mn)  :     258.49u       0.19s     253.46w      9 calls
JK: (Q|mn) Write:       0.01u       4.38s   4.584863w      4 calls
HF: Form H  :       0.02u       0.01s 0.01732200w      1 call
HF: Form S/X:       2.60u       0.06s 0.62178900w      1 call
HF: Guess   :      15.26u       0.37s 2.46183200w      1 call
SAD Guess   :      15.20u       0.37s 2.45383200w      1 call
JK: (A|Q)^-1/2:       6.48u       0.16s   0.853361w      5 calls
JK: D       :       1.28u       0.06s   0.361001w     75 calls
JK: USO2AO  :       0.26u       0.02s   0.061489w     75 calls
JK: JK      :    2541.26u      77.67s     873.32w     75 calls
JK: J       :      35.21u       0.04s      35.22w    117 calls
JK: J1      :      16.85u       0.01s      16.80w    160 calls
JK: J2      :      17.89u       0.03s      17.89w    160 calls
JK: K       :    2429.97u       3.59s     740.41w    117 calls
JK: K1      :    1807.06u       0.58s     227.51w    188 calls
JK: K2      :     622.91u       3.01s     512.86w    158 calls
JK: AO2USO  :       0.00u       0.00s   0.000059w     75 calls
DIISManager::add_entry:       1.31u       0.15s   0.186567w     57 calls
DIISManager::extrapolate:       4.87u       0.55s   0.693577w     56 calls
DIISManager::extrapolate: bMatrix setup:       2.38u       0.31s   0.346158w     56 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.02u       0.01s   0.002909w     56 calls
DIISManager::extrapolate: form new data:       2.45u       0.23s   0.344087w     56 calls
HF: Form G  :     869.52u      43.33s     306.24w     22 calls
JK: (Q|mn) Read:       0.22u      42.83s      43.05w     81 calls
HF: Form F  :       0.34u       0.00s   0.045789w     22 calls
HF: DIIS    :      39.98u       1.47s   6.885418w     22 calls
HF: Form C  :      39.75u       0.62s      17.27w     22 calls
HF: Form D  :       0.10u       0.00s   0.118437w     22 calls
DFMP2 Singles:       0.13u       0.00s 0.13292600w      1 call
DFMP2 Aia   :     102.34u       1.56s      24.39w      1 call
DFMP2 (A|mn):      73.63u       0.00s   9.202473w      3 calls
DFMP2 (A|mn)C_mi:      12.52u       0.13s   8.561868w      3 calls
DFMP2 (A|mi)C_na:      11.17u       0.07s   1.593950w      3 calls
DFMP2 Aia Write:       1.21u       0.44s   0.416625w      3 calls
DFMP2 iaQ   :      35.70u       1.57s      35.53w      1 call
DFMP2 Metric:       8.15u       0.05s 6.45912000w      1 call
DFMP2 Aia Read:       0.00u       0.14s 0.14442700w      1 call
DFMP2 (Q|A)(A|ia):      27.18u       0.02s      27.20w      2 calls
DFMP2 Qia Write:       0.00u       0.39s 0.39743100w      1 call
DFMP2 Qia Read:       0.17u       0.55s   0.717148w     13 calls
DFMP2 Bia Write:       0.01u       0.40s 0.40387700w      1 call
DFMP2 aiQ   :       0.09u       0.69s 0.77866100w      1 call
DFMP2 Tij   :     732.86u       2.69s     707.08w      1 call
DFMP2 Cia Read:       0.00u       0.62s   0.624076w     10 calls
DFMP2 I     :     605.96u       0.13s     605.89w     18 calls
DFMP2 T2    :      43.54u       0.00s   5.576077w     18 calls
DFMP2 G     :     298.96u       0.43s     287.33w      9 calls
DFMP2 Pab   :     129.50u       0.04s     129.51w      9 calls
DFMP2 Gia Write:       0.00u       0.42s   0.433002w      3 calls
DFMP2 Tab   :     372.79u       1.65s     340.67w      1 call
DFMP2 Qai Read:       0.19u       0.41s   0.600637w     12 calls
DFMP2 Pij   :      20.79u       0.24s      12.46w      9 calls
DFMP2 gamma :      17.45u       0.74s      18.18w      1 call
DFMP2 Gia Read:       0.00u       0.52s   0.531226w      2 calls
DFMP2 g     :      17.14u       0.00s      17.13w      1 call
DFMP2 Gia   :       0.91u       1.33s 2.23650900w      1 call
DFMP2 aiG Write:       0.01u       0.44s 0.43705300w      1 call
DFMP2 AB^x  :       1.98u       0.02s 0.51017200w      1 call
DFMP2 Amn^x :     419.63u       1.34s      66.70w      1 call
DFMP2 L     :     287.80u       1.56s      56.31w      1 call
